code,x,y,t,z,tmp,uwind,vwind,wind,hum,prec
1,126.9747,37.5643,1,27,-0.127207823,0.210262877,-1.678297181,0.608895851,79.26226464,0.042478481
1,126.9747,37.5643,2,19,-0.747989685,0.257965321,-1.256667218,0.386534574,72.08774169,0.038821712
1,126.9747,37.5643,3,11,-0.79329113,0.297994199,-1.313213955,0.493171419,71.50522051,0.020449355
1,126.9747,37.5643,4,9,-1.753190605,0.215887181,-0.811953793,0.24345025,84.2030729,0.051434838
1,126.9747,37.5643,5,9,-2.032536617,0.105123701,-0.322795591,-0.157496976,87.08558302,0.120311626
1,126.9747,37.5643,6,7,-1.859000663,0.054214178,-0.760729927,0.265877804,88.01823634,0.080175642
1,126.9747,37.5643,7,10,-1.959189422,0.289442009,-1.163260032,0.488984136,84.03074959,0.079998952
1,126.9747,37.5643,8,13,-2.414283994,0.535900835,-1.17860106,0.345825803,82.67209803,0.046937233
1,126.9747,37.5643,9,17,-1.646753265,0.457479902,-1.380857539,0.361160093,78.63925887,0.041356745
1,126.9747,37.5643,10,21,-1.053827629,0.472231562,-1.619850091,0.663915473,72.9745623,0.038055005
1,126.9747,37.5643,11,35,-0.532673313,0.812015262,-2.254162855,0.957343298,69.90889743,0.045394591
1,126.9747,37.5643,12,40,-0.043668041,1.462886808,-1.743403646,1.040757411,66.82852459,0.060937751
1,126.9747,37.5643,13,48,-0.047051715,1.239478233,-1.96171882,1.076192461,65.46300957,0.050031764
1,126.9747,37.5643,14,51,0.248781598,1.362137943,-1.859399533,1.075020817,63.63858881,0.025202136
1,126.9747,37.5643,15,55,0.454207001,1.154666537,-1.899535344,0.984234837,61.68140506,0.013570388
1,126.9747,37.5643,16,48,0.606430182,0.926631199,-1.78709232,0.92750609,60.27480836,0.007211007
1,126.9747,37.5643,17,52,0.186302105,0.799283502,-1.209746707,0.718428029,62.24077945,0.004718683
1,126.9747,37.5643,18,52,-0.681321419,0.427625046,-1.061688159,0.444859412,65.62541617,0.005344888
1,126.9747,37.5643,19,54,-1.344941909,0.299448096,-0.757060647,0.246709845,69.86657934,0.00534705
1,126.9747,37.5643,20,54,-1.260123204,0.538166617,-1.124785164,0.366348223,72.21057175,0.007626486
1,126.9747,37.5643,21,57,-1.608124153,0.270750818,-1.165821715,0.34091752,73.57618742,0.008080943
1,126.9747,37.5643,22,57,-1.893176424,0.317520716,-1.26643949,0.341186988,75.16431994,0.007987089
1,126.9747,37.5643,23,57,-2.164526391,0.333306412,-1.126885439,0.283695303,75.27787085,0.00807892
1,126.9747,37.5643,24,53,-2.582578465,0.102023301,-0.891524279,0.339974692,75.18317139,0.009080067
2,127.005,37.572,1,29,0.073875826,0.23947785,-1.806749369,0.62829023,79.76964195,0.042330328
2,127.005,37.572,2,22,-0.546661984,0.32348084,-1.458823926,0.436344384,71.56240516,0.038889
2,127.005,37.572,3,14,-0.595344232,0.401181235,-1.304200252,0.505170256,70.18825769,0.020428766
2,127.005,37.572,4,10,-1.641122432,0.185157041,-0.8833028,0.284889297,83.51807845,0.051044037
2,127.005,37.572,5,10,-1.892826256,0.140797828,-0.397650841,-0.146400172,87.19202787,0.120306827
2,127.005,37.572,6,10,-1.776764941,0.079179561,-0.739404719,0.23894248,88.08991997,0.080319933
2,127.005,37.572,7,11,-1.804436787,0.317290893,-1.273382949,0.500105696,84.06750038,0.080069669
2,127.005,37.572,8,16,-2.264381426,0.578194731,-1.263479718,0.371819459,82.33048555,0.047079956
2,127.005,37.572,9,20,-1.517202066,0.446077709,-1.398115044,0.383219213,78.38061783,0.041426082
2,127.005,37.572,10,23,-0.927107888,0.452309425,-1.702955507,0.683666725,72.45264452,0.038041155
2,127.005,37.572,11,33,-0.446963354,0.765615449,-2.170676698,0.954703605,69.28370914,0.045217847
2,127.005,37.572,12,42,0.042732059,1.46565239,-1.754367752,1.044536941,66.04342506,0.060800194
2,127.005,37.572,13,52,0.025391767,1.231052292,-2.100482463,1.073003034,64.78974951,0.050419096
2,127.005,37.572,14,55,0.323454936,1.434782452,-1.931322158,1.074468491,62.91271551,0.025414458
2,127.005,37.572,15,53,0.498873089,1.190947829,-2.024758666,0.984796328,60.96235553,0.01367324
2,127.005,37.572,16,52,0.657200022,0.988962042,-1.88455684,0.928127952,59.44166804,0.00726677
2,127.005,37.572,17,53,0.263133365,0.823471182,-1.345027031,0.720398948,61.18058372,0.004710465
2,127.005,37.572,18,54,-0.561510025,0.472637224,-1.201103223,0.446240016,64.64659133,0.00536305
2,127.005,37.572,19,55,-1.211801684,0.342883415,-0.681308443,0.226422126,69.02067271,0.0053152
2,127.005,37.572,20,55,-1.207608733,0.576965188,-0.900121723,0.347051486,71.61782952,0.007651156
2,127.005,37.572,21,62,-1.442531956,0.284832049,-1.099776933,0.335444627,72.72977315,0.008073484
2,127.005,37.572,22,64,-1.75427621,0.316762779,-1.242834204,0.349361827,74.97797229,0.007926642
2,127.005,37.572,23,63,-1.967111428,0.376163997,-1.005225498,0.284010023,75.03315504,0.007971182
2,127.005,37.572,24,58,-2.352920241,0.158860437,-0.86776882,0.33753212,74.87346027,0.008969235
3,127.0048,37.54,1,27,0.032762507,0.156802737,-1.746102386,0.631578885,78.98816688,0.042638287
3,127.0048,37.54,2,21,-0.575020052,0.2263032,-1.405104847,0.440919186,71.16322171,0.038730805
3,127.0048,37.54,3,16,-0.614164501,0.305597877,-1.408632862,0.532032014,69.94174532,0.020291588
3,127.0048,37.54,4,11,-1.750590884,0.096089924,-0.804206776,0.270725636,84.27119468,0.050745326
3,127.0048,37.54,5,10,-1.993380619,0.067322454,-0.345139005,-0.15598799,87.56204175,0.120009061
3,127.0048,37.54,6,10,-1.82449369,0.007966575,-0.807420861,0.260851365,88.46835403,0.08043672
3,127.0048,37.54,7,12,-1.840869603,0.214622394,-1.358161666,0.533755697,84.01788243,0.080844039
3,127.0048,37.54,8,15,-2.32397275,0.476281008,-1.247917519,0.378983747,82.44534239,0.047587324
3,127.0048,37.54,9,20,-1.575910881,0.402447601,-1.376661206,0.428510498,78.48237073,0.041783467
3,127.0048,37.54,10,26,-1.041294538,0.373266831,-1.650279574,0.691360899,72.7166397,0.038620006
3,127.0048,37.54,11,39,-0.586861256,0.647821074,-2.039129422,0.948773158,69.969151,0.045403826
3,127.0048,37.54,12,44,-0.03206634,1.390887381,-1.557427311,1.041088756,66.39118547,0.061229352
3,127.0048,37.54,13,47,-0.078927331,1.174143915,-2.010283042,1.077151216,65.33628644,0.050552602
3,127.0048,37.54,14,50,0.227525986,1.334064319,-1.718836845,1.067298003,63.49756884,0.025574604
3,127.0048,37.54,15,52,0.420907786,1.153557768,-1.828723968,0.977073806,61.24829514,0.013654595
3,127.0048,37.54,16,50,0.619985397,0.876710457,-1.736692484,0.916219199,59.65513934,0.007258702
3,127.0048,37.54,17,52,0.214039731,0.743386958,-1.30806693,0.707717517,61.69275491,0.004704305
3,127.0048,37.54,18,50,-0.593776007,0.37186187,-1.240308542,0.456756963,65.2356377,0.005322171
3,127.0048,37.54,19,53,-1.176554752,0.226763827,-0.72839131,0.244103892,69.4144192,0.005317406
3,127.0048,37.54,20,54,-1.143508552,0.437545974,-1.03075994,0.370434265,71.70106697,0.007628348
3,127.0048,37.54,21,59,-1.369934813,0.189314338,-1.168302931,0.347727352,72.55520158,0.008081768
3,127.0048,37.54,22,54,-1.658655193,0.240878721,-1.28358475,0.380887311,74.6971765,0.007979897
3,127.0048,37.54,23,59,-1.942677434,0.261616465,-1.065027996,0.317711109,75.0545875,0.008065529
3,127.0048,37.54,24,54,-2.409359742,0.044799077,-0.83774261,0.348052838,74.90755906,0.00907657
4,127.0925,37.5472,1,26,0.520569571,0.183710132,-1.456920921,0.594889705,79.0926387,0.042372549
4,127.0925,37.5472,2,20,-0.07134382,0.232583042,-1.364852064,0.485170709,69.32566042,0.038942459
4,127.0925,37.5472,3,11,-0.168975797,0.363404884,-1.248218102,0.501364422,66.9421002,0.020239853
4,127.0925,37.5472,4,10,-1.476140764,-0.056480312,-0.84000376,0.322325762,81.72233029,0.049310467
4,127.0925,37.5472,5,8,-1.795085789,0.026092142,-0.278495055,-0.193031643,87.30738685,0.118413478
4,127.0925,37.5472,6,8,-1.746966628,-0.05679464,-0.706998886,0.141719296,87.96810589,0.080446041
4,127.0925,37.5472,7,9,-1.566325053,0.119476521,-1.213630503,0.48837026,83.6189563,0.080788613
4,127.0925,37.5472,8,14,-2.086780845,0.310353296,-1.165313532,0.364554484,80.89415966,0.048403445
4,127.0925,37.5472,9,21,-1.358984598,0.243708483,-1.005668894,0.391267464,77.65255654,0.042093397
4,127.0925,37.5472,10,24,-0.82186617,0.273188264,-1.4950553,0.695221488,71.67031614,0.038957277
4,127.0925,37.5472,11,31,-0.40453522,0.440809473,-1.804909,0.913501638,68.29197122,0.045082204
4,127.0925,37.5472,12,38,0.247110203,1.1735557,-1.607536171,1.018308711,63.59392097,0.061144949
